# Citation/License/Copyright:,"LeBauer, David, Michael Dietze, Rob Kooper, Steven Long, Patrick Mulrooney, Gareth Scott Rohde, Dan Wang (2010).  Biofuel Ecophysiological Traits and Yields Database (BETYdb), Energy Biosciences Institute, University of Illinois at Urbana-Champaign.  doi:10.13012/J8H41PB9
All public data in BETYdb is made available under the Open Data Commons Attribution License (ODC-By) v1.0. You are free to share, create, and adapt its contents.  Data with an access_level field and value &lt;= 2 is not covered by this license but may be available for use with consent.
Copyright © 2010-2014 Energy Biosciences Institute"
#
# Contact:,betydb@gmail.com
#
# SQL query:,"SELECT ""traits_and_yields_view"".* FROM ""traits_and_yields_view""  WHERE (traits_and_yields_view.access_level >= 4) AND (checked >= 1)"
#
# Time of query:,2017-05-26 16:33:16 UTC
checked,AspenFACE,Rhinelander,45.67,-89.62,Populus tremuloides,quaking aspen,Populus,"",Darbah,2010,ambient CO2/High Temp,"","","","","",4.0,Vcmax,95.0,umol CO2 m-2 s-1,3,SE,27.000,"","",""
checked,AspenFACE,Rhinelander,45.67,-89.62,Populus tremuloides,quaking aspen,Populus,"",Darbah,2010,elevated CO2/Low Temp,"","","","","",4.0,Vcmax,240,umol CO2 m-2 s-1,3,SE,50.000,"","",""
checked,AspenFACE,Rhinelander,45.67,-89.62,Populus tremuloides,quaking aspen,Populus,"",Darbah,2010,ambient CO2/Low Temp,"","","","","",4.0,Vcmax,161,umol CO2 m-2 s-1,3,SE,49.000,"","",""
checked,AspenFACE,Rhinelander,45.67,-89.62,Populus tremuloides,quaking aspen,Populus,"",Darbah,2010,elevated CO2/High Temp,"","","","","",4.0,Vcmax,172,umol CO2 m-2 s-1,3,SE,8.000,"","",""
checked,AspenFACE,Rhinelander,45.67,-89.62,Populus tremuloides,quaking aspen,Populus,"",Darbah,2010,ambient CO2/High Temp,"","","","","",4.0,Vcmax,141,umol CO2 m-2 s-1,3,SE,18.000,"","",""
checked,AspenFACE,Rhinelander,45.67,-89.62,Populus tremuloides,quaking aspen,Populus,"",Darbah,2010,elevated CO2/Low Temp,"","","","","",4.0,Vcmax,150,umol CO2 m-2 s-1,3,SE,31.000,"","",""
checked,AspenFACE,Rhinelander,45.67,-89.62,Populus tremuloides,quaking aspen,Populus,"",Darbah,2010,ambient CO2/Low Temp,"","","","","",4.0,Vcmax,199,umol CO2 m-2 s-1,3,SE,15.000,"","",""
checked,Oak Ridge National Laboratory,Oak Ridge,36.02,-84.25,Liriodendron tulipifera,yellow-poplar,Liriodendron,"",Norby,1991,Observational,"","","","","",4.0,leaf_biomass_plant,1.54,g plant-1,5,SD,0.170,Unfertilized,"",""
checked,Oak Ridge National Laboratory,Oak Ridge,36.02,-84.25,Liriodendron tulipifera,yellow-poplar,Liriodendron,"",Norby,1991,Observational,"","","","","",4.0,leaf_biomass_plant,1.64,g plant-1,5,SD,0.180,Unfertilized,"",""
checked,Oak Ridge National Laboratory,Oak Ridge,36.02,-84.25,Liriodendron tulipifera,yellow-poplar,Liriodendron,"",Norby,1991,Observational,"","","","","",4.0,leaf_biomass_plant,1.60,g plant-1,5,SD,0.380,Unfertilized,"",""
checked,Oak Ridge National Laboratory,Oak Ridge,36.02,-84.25,Liriodendron tulipifera,yellow-poplar,Liriodendron,"",Norby,1991,observational,"","","","","",4.0,leaf_biomass_plant,14.2,g plant-1,5,SD,1.540,Fertilized,"",""
checked,Oak Ridge National Laboratory,Oak Ridge,36.02,-84.25,Liriodendron tulipifera,yellow-poplar,Liriodendron,"",Norby,1991,observational,"","","","","",4.0,leaf_biomass_plant,14.6,g plant-1,5,SD,2.000,Fertilized,"",""
checked,Oak Ridge National Laboratory,Oak Ridge,36.02,-84.25,Liriodendron tulipifera,yellow-poplar,Liriodendron,"",Norby,1991,observational,"","","","","",4.0,leaf_biomass_plant,12.5,g plant-1,5,SD,0.870,Fertilized,"",""
checked,Oak Ridge National Laboratory,Oak Ridge,36.02,-84.25,Liriodendron tulipifera,yellow-poplar,Liriodendron,"",Norby,1991,Observational,"","","","","",4.0,Shoot_g_per_plant,2.05,g shoot/ Plant,5,SD,0.330,Unfertilized,"",""
checked,Oak Ridge National Laboratory,Oak Ridge,36.02,-84.25,Liriodendron tulipifera,yellow-poplar,Liriodendron,"",Norby,1991,Observational,"","","","","",4.0,Shoot_g_per_plant,2.10,g shoot/ Plant,5,SD,0.260,Unfertilized,"",""
checked,Oak Ridge National Laboratory,Oak Ridge,36.02,-84.25,Liriodendron tulipifera,yellow-poplar,Liriodendron,"",Norby,1991,Observational,"","","","","",4.0,Shoot_g_per_plant,2.09,g shoot/ Plant,5,SD,0.510,Unfertilized,"",""
checked,Oak Ridge National Laboratory,Oak Ridge,36.02,-84.25,Liriodendron tulipifera,yellow-poplar,Liriodendron,"",Norby,1991,observational,"","","","","",4.0,Shoot_g_per_plant,23.1,g shoot/ Plant,5,SD,3.290,Fertilized,"",""
checked,Oak Ridge National Laboratory,Oak Ridge,36.02,-84.25,Liriodendron tulipifera,yellow-poplar,Liriodendron,"",Norby,1991,observational,"","","","","",4.0,Shoot_g_per_plant,24.2,g shoot/ Plant,5,SD,3.090,Fertilized,"",""
checked,Oak Ridge National Laboratory,Oak Ridge,36.02,-84.25,Liriodendron tulipifera,yellow-poplar,Liriodendron,"",Norby,1991,observational,"","","","","",4.0,Shoot_g_per_plant,21.3,g shoot/ Plant,5,SD,2.440,Fertilized,"",""
checked,New Zealand National Climate Laboratory,Palmerston North,-40.35,175.62,Pseudopanax arboreus,Fivefinger,Pseudopanax,"",Guo,2004,observational,"","","","","",4.0,irradiance,237,umol m-2 s-1,3,SE,14.000,"","",""
checked,New Zealand National Climate Laboratory,Palmerston North,-40.35,175.62,Coprosma robusta,karamu,Coprosma,"",Guo,2004,observational,"","","","","",4.0,irradiance,226,umol m-2 s-1,3,SE,10.000,"","",""
checked,New Zealand National Climate Laboratory,Palmerston North,-40.35,175.62,P. deltoides × P. nigra,poplar,Populus,"",Guo,2004,observational,"","","","","",4.0,irradiance,383,umol m-2 s-1,3,SE,16.000,"","",""
checked,New Zealand National Climate Laboratory,Palmerston North,-40.35,175.62,Pseudopanax arboreus,Fivefinger,Pseudopanax,"",Guo,2004,observational,"","","","","",4.0,Jmax,117,umol photons m-2 s-1,3,SE,9.000,"","",""
checked,New Zealand National Climate Laboratory,Palmerston North,-40.35,175.62,Coprosma robusta,karamu,Coprosma,"",Guo,2004,observational,"","","","","",4.0,Jmax,133,umol photons m-2 s-1,3,SE,23.000,"","",""
checked,New Zealand National Climate Laboratory,Palmerston North,-40.35,175.62,P. deltoides × P. nigra,poplar,Populus,"",Guo,2004,observational,"","","","","",4.0,Jmax,128,umol photons m-2 s-1,3,SE,4.000,"","",""
checked,New Zealand National Climate Laboratory,Palmerston North,-40.35,175.62,Pseudopanax arboreus,Fivefinger,Pseudopanax,"",Guo,2004,observational,"","","","","",4.0,Vcmax,33.0,umol CO2 m-2 s-1,3,SE,2.100,"","",""
checked,New Zealand National Climate Laboratory,Palmerston North,-40.35,175.62,Coprosma robusta,karamu,Coprosma,"",Guo,2004,observational,"","","","","",4.0,Vcmax,40.0,umol CO2 m-2 s-1,3,SE,5.600,"","",""
checked,New Zealand National Climate Laboratory,Palmerston North,-40.35,175.62,P. deltoides × P. nigra,poplar,Populus,"",Guo,2004,observational,"","","","","",4.0,Vcmax,46.0,umol CO2 m-2 s-1,3,SE,5.800,"","",""
checked,New Zealand National Climate Laboratory,Palmerston North,-40.35,175.62,Pseudopanax arboreus,Fivefinger,Pseudopanax,"",Guo,2004,observational,"","","","","",4.0,Amax,19.0,umol CO2 m-2 s-1,3,SE,0.400,"","",""
checked,New Zealand National Climate Laboratory,Palmerston North,-40.35,175.62,Coprosma robusta,karamu,Coprosma,"",Guo,2004,observational,"","","","","",4.0,Amax,26.2,umol CO2 m-2 s-1,3,SE,2.300,Horizontal leaf angles irrespective of position in the canopy.,"",""
checked,New Zealand National Climate Laboratory,Palmerston North,-40.35,175.62,P. deltoides × P. nigra,poplar,Populus,"",Guo,2004,observational,"","","","","",4.0,Amax,26.4,umol CO2 m-2 s-1,3,SE,0.500,"Horizontal leaf angles at the top canopy, becoming more horizontal with increasing depth in the canopy.","",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,P. deltoides × P. trichocarpa,poplar,Populus,44-136,Scarascia,1997,Observational,June 1985,22:00:00 (America/Los_Angeles),6,1985,1985-07-01 00:00:00 -0500,6.0,Fraction of stalk in total biomass,0.430,Fraction,"","",[missing],combined stem and branch biomass,"",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,P. deltoides × P. trichocarpa,poplar,Populus,44-136,Scarascia,1997,Observational,May 1985,22:00:00 (America/Los_Angeles),5,1985,1985-06-01 00:00:00 -0500,6.0,Fraction of stalk in total biomass,0.340,Fraction,"","",[missing],combined stem and branch biomass,"",""
checked,West Bear Watershed,Beddington,44.87,-68.11,Acer saccharum,sugar maple,Acer,"",Elvir,2005,Fertilizer,"Week of Jul 1, 2003",01:00:00 (America/New_York),7,2003,2003-07-01 00:00:00 -0500,5.5,leafP,0.0978,percent,"",SD,0.009,"","",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus deltoides,eastern cottonwood,Populus,"",Scarascia,1997,Observational,August 1986,22:00:00 (America/Los_Angeles),8,1986,1986-09-01 00:00:00 -0500,6.0,Fraction of stalk in total biomass,0.610,Fraction,"","",[missing],combined stem and branch biomass,"",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus deltoides,eastern cottonwood,Populus,"",Scarascia,1997,Observational,June 1986,22:00:00 (America/Los_Angeles),6,1986,1986-07-01 00:00:00 -0500,6.0,Fraction of stalk in total biomass,0.660,Fraction,"","",[missing],combined stem and branch biomass,"",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus deltoides,eastern cottonwood,Populus,"",Scarascia,1997,Observational,April 1986,22:00:00 (America/Los_Angeles),4,1986,1986-05-01 00:00:00 -0500,6.0,Fraction of stalk in total biomass,0.820,Fraction,"","",[missing],combined stem and branch biomass,"",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus deltoides,eastern cottonwood,Populus,"",Scarascia,1997,Observational,August 1985,22:00:00 (America/Los_Angeles),8,1985,1985-09-01 00:00:00 -0500,6.0,Fraction of stalk in total biomass,0.470,Fraction,"","",[missing],combined stem and branch biomass,"",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus deltoides,eastern cottonwood,Populus,"",Scarascia,1997,Observational,July 1985,22:00:00 (America/Los_Angeles),7,1985,1985-08-01 00:00:00 -0500,6.0,Fraction of stalk in total biomass,0.340,Fraction,"","",[missing],combined stem and branch biomass,"",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus deltoides,eastern cottonwood,Populus,"",Scarascia,1997,Observational,June 1985,22:00:00 (America/Los_Angeles),6,1985,1985-07-01 00:00:00 -0500,6.0,Fraction of stalk in total biomass,0.240,Fraction,"","",[missing],combined stem and branch biomass,"",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus deltoides,eastern cottonwood,Populus,"",Scarascia,1997,Observational,May 1985,22:00:00 (America/Los_Angeles),5,1985,1985-06-01 00:00:00 -0500,6.0,Fraction of stalk in total biomass,0.270,Fraction,"","",[missing],combined stem and branch biomass,"",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus trichocarpa,"",Populus,"",Scarascia,1997,Observational,June 1986,22:00:00 (America/Los_Angeles),6,1986,1986-07-01 00:00:00 -0500,6.0,Fraction of stalk in total biomass,0.790,Fraction,"","",[missing],combined stem and branch biomass,"",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus trichocarpa,"",Populus,"",Scarascia,1997,Observational,April 1986,22:00:00 (America/Los_Angeles),4,1986,1986-05-01 00:00:00 -0500,6.0,Fraction of stalk in total biomass,0.580,Fraction,"","",[missing],combined stem and branch biomass,"",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus trichocarpa,"",Populus,"",Scarascia,1997,Observational,August 1985,22:00:00 (America/Los_Angeles),8,1985,1985-09-01 00:00:00 -0500,6.0,Fraction of stalk in total biomass,0.420,Fraction,"","",[missing],combined stem and branch biomass,"",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus trichocarpa,"",Populus,"",Scarascia,1997,Observational,July 1985,22:00:00 (America/Los_Angeles),7,1985,1985-08-01 00:00:00 -0500,6.0,Fraction of stalk in total biomass,0.480,Fraction,"","",[missing],combined stem and branch biomass,"",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus trichocarpa,"",Populus,"",Scarascia,1997,Observational,June 1985,22:00:00 (America/Los_Angeles),6,1985,1985-07-01 00:00:00 -0500,6.0,Fraction of stalk in total biomass,0.400,Fraction,"","",[missing],combined stem and branch biomass,"",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus trichocarpa,"",Populus,"",Scarascia,1997,Observational,May 1985,22:00:00 (America/Los_Angeles),5,1985,1985-06-01 00:00:00 -0500,6.0,Fraction of stalk in total biomass,0.330,Fraction,"","",[missing],combined stem and branch biomass,"",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,P. deltoides × P. trichocarpa,poplar,Populus,11 11,Scarascia,1997,Observational,August 1986,22:00:00 (America/Los_Angeles),8,1986,1986-09-01 00:00:00 -0500,6.0,Fraction of stalk in total biomass,0.730,Fraction,"","",[missing],combined stem and branch biomass,"",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,P. deltoides × P. trichocarpa,poplar,Populus,11 11,Scarascia,1997,Observational,April 1986,22:00:00 (America/Los_Angeles),4,1986,1986-05-01 00:00:00 -0500,6.0,Fraction of stalk in total biomass,0.510,Fraction,"","",[missing],combined stem and branch biomass,"",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,P. deltoides × P. trichocarpa,poplar,Populus,11 11,Scarascia,1997,Observational,August 1985,22:00:00 (America/Los_Angeles),8,1985,1985-09-01 00:00:00 -0500,6.0,Fraction of stalk in total biomass,0.520,Fraction,"","",[missing],combined stem and branch biomass,"",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,P. deltoides × P. trichocarpa,poplar,Populus,11 11,Scarascia,1997,Observational,July 1985,22:00:00 (America/Los_Angeles),7,1985,1985-08-01 00:00:00 -0500,6.0,Fraction of stalk in total biomass,0.450,Fraction,"","",[missing],combined stem and branch biomass,"",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,P. deltoides × P. trichocarpa,poplar,Populus,11 11,Scarascia,1997,Observational,June 1985,22:00:00 (America/Los_Angeles),6,1985,1985-07-01 00:00:00 -0500,6.0,Fraction of stalk in total biomass,0.390,Fraction,"","",[missing],combined stem and branch biomass,"",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,P. deltoides × P. trichocarpa,poplar,Populus,11 11,Scarascia,1997,Observational,May 1985,22:00:00 (America/Los_Angeles),5,1985,1985-06-01 00:00:00 -0500,6.0,Fraction of stalk in total biomass,0.350,Fraction,"","",[missing],combined stem and branch biomass,"",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus deltoides,eastern cottonwood,Populus,"",Scarascia,1997,Observational,August 1986,22:00:00 (America/Los_Angeles),8,1986,1986-09-01 00:00:00 -0500,6.0,root_biomass_fraction,0.180,fraction,"","",[missing],"","",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus deltoides,eastern cottonwood,Populus,"",Scarascia,1997,Observational,June 1986,22:00:00 (America/Los_Angeles),6,1986,1986-07-01 00:00:00 -0500,6.0,root_biomass_fraction,0.0500,fraction,"","",[missing],"","",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus deltoides,eastern cottonwood,Populus,"",Scarascia,1997,Observational,August 1985,22:00:00 (America/Los_Angeles),8,1985,1985-09-01 00:00:00 -0500,6.0,root_biomass_fraction,0.360,fraction,"","",[missing],"","",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus deltoides,eastern cottonwood,Populus,"",Scarascia,1997,Observational,July 1985,22:00:00 (America/Los_Angeles),7,1985,1985-08-01 00:00:00 -0500,6.0,root_biomass_fraction,0.270,fraction,"","",[missing],"","",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus deltoides,eastern cottonwood,Populus,"",Scarascia,1997,Observational,June 1985,22:00:00 (America/Los_Angeles),6,1985,1985-07-01 00:00:00 -0500,6.0,root_biomass_fraction,0.270,fraction,"","",[missing],"","",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus deltoides,eastern cottonwood,Populus,"",Scarascia,1997,Observational,May 1985,22:00:00 (America/Los_Angeles),5,1985,1985-06-01 00:00:00 -0500,6.0,root_biomass_fraction,0.0400,fraction,"","",[missing],"","",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus trichocarpa,"",Populus,"",Scarascia,1997,Observational,August 1986,22:00:00 (America/Los_Angeles),8,1986,1986-09-01 00:00:00 -0500,6.0,root_biomass_fraction,0.0300,fraction,"","",[missing],"","",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus trichocarpa,"",Populus,"",Scarascia,1997,Observational,June 1986,22:00:00 (America/Los_Angeles),6,1986,1986-07-01 00:00:00 -0500,6.0,root_biomass_fraction,0.120,fraction,"","",[missing],"","",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus trichocarpa,"",Populus,"",Scarascia,1997,Observational,August 1985,22:00:00 (America/Los_Angeles),8,1985,1985-09-01 00:00:00 -0500,6.0,root_biomass_fraction,0.460,fraction,"","",[missing],"","",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus trichocarpa,"",Populus,"",Scarascia,1997,Observational,July 1985,22:00:00 (America/Los_Angeles),7,1985,1985-08-01 00:00:00 -0500,6.0,root_biomass_fraction,0.180,fraction,"","",[missing],"","",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus trichocarpa,"",Populus,"",Scarascia,1997,Observational,June 1985,22:00:00 (America/Los_Angeles),6,1985,1985-07-01 00:00:00 -0500,6.0,root_biomass_fraction,0.140,fraction,"","",[missing],"","",""
checked,DNR Meridian Seed Orchard,"",47.04,-122.90,Populus trichocarpa,"",Populus,"",Scarascia,1997,Observational,May 1985,22:00:00 (America/Los_Angeles),5,1985,1985-06-01 00:00:00 -0500,6.0,root_biomass_fraction,0.120,fraction,"","",[missing],"","",""
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Quercus rubra,northern red oak,Quercus,"",Serbin,2011,observational,Unrecognized Value for Date Level of Confidence,Unrecognized Value for Time Level of Confidence (America/Chicago),"","",2011-09-06 00:00:00 -0500,4.0,leaf_respiration_rate_m2,0.200,umol CO2 m-2 s-1,1,"",[missing],"","",""
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Quercus rubra,northern red oak,Quercus,"",Serbin,2011,observational,Unrecognized Value for Date Level of Confidence,Unrecognized Value for Time Level of Confidence (America/Chicago),"","",2011-09-06 00:00:00 -0500,4.0,Jmax,158,umol photons m-2 s-1,1,"",[missing],"","",""
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Quercus rubra,northern red oak,Quercus,"",Serbin,2011,observational,Unrecognized Value for Date Level of Confidence,Unrecognized Value for Time Level of Confidence (America/Chicago),"","",2011-09-06 00:00:00 -0500,4.0,Vcmax,91.5,umol CO2 m-2 s-1,1,"",[missing],"","",""
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Quercus rubra,northern red oak,Quercus,"",Serbin,2011,observational,Unrecognized Value for Date Level of Confidence,00:00:00 (America/Chicago),"","",2011-09-06 00:00:00 -0500,4.0,leaf_respiration_rate_m2,0.470,umol CO2 m-2 s-1,1,"",[missing],"","",""
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Quercus rubra,northern red oak,Quercus,"",Serbin,2011,observational,Unrecognized Value for Date Level of Confidence,00:00:00 (America/Chicago),"","",2011-09-06 00:00:00 -0500,4.0,Jmax,140,umol photons m-2 s-1,1,"",[missing],"","",""
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Quercus rubra,northern red oak,Quercus,"",Serbin,2011,observational,Unrecognized Value for Date Level of Confidence,00:00:00 (America/Chicago),"","",2011-09-06 00:00:00 -0500,4.0,Vcmax,59.1,umol CO2 m-2 s-1,1,"",[missing],"","",""
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Tilia americana,american basswood,Tilia,"",Serbin,2011,observational,Unrecognized Value for Date Level of Confidence,00:00:00 (America/Chicago),"","",2011-09-06 00:00:00 -0500,4.0,leaf_respiration_rate_m2,2.03,umol CO2 m-2 s-1,1,"",[missing],"","",""
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Tilia americana,american basswood,Tilia,"",Serbin,2011,observational,Unrecognized Value for Date Level of Confidence,00:00:00 (America/Chicago),"","",2011-09-06 00:00:00 -0500,4.0,Vcmax,41.8,umol CO2 m-2 s-1,1,"",[missing],"","",""
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Quercus rubra,northern red oak,Quercus,"",Walters,1993,High Light,1989 Jun 1,00:00:00 (America/Chicago),6,1989,1989-06-01 00:00:00 -0500,5.0,N_uptake_rate,2.40,mg N / g-1 root / day-1,23,"",[missing],"","",""
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Quercus rubra,northern red oak,Quercus,"",Walters,1993,High Light,1989 Jun 22,00:00:00 (America/Chicago),6,1989,1989-06-22 00:00:00 -0500,5.0,N_uptake_rate,1.50,mg N / g-1 root / day-1,23,"",[missing],"","",""
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Acer saccharum,sugar maple,Acer,"",Walters,1993,High Light,1989 Jun 22,00:00:00 (America/Chicago),6,1989,1989-06-22 00:00:00 -0500,5.0,N_uptake_rate,1.70,mg N / g-1 root / day-1,23,"",[missing],"","",""
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Acer saccharum,sugar maple,Acer,"",Walters,1993,High Light,1989 Jun 1,00:00:00 (America/Chicago),6,1989,1989-06-01 00:00:00 -0500,5.0,N_uptake_rate,5.00,mg N / g-1 root / day-1,23,"",[missing],"","",""
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Betula alleghaniensis,yellow birch,Betula,"",Walters,1993,Low Light,1989 Jun 22,00:00:00 (America/Chicago),6,1989,1989-06-22 00:00:00 -0500,5.0,N_uptake_rate,7.80,mg N / g-1 root / day-1,23,"",[missing],"","",""
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Betula alleghaniensis,yellow birch,Betula,"",Walters,1993,High Light,1989 Jun 22,00:00:00 (America/Chicago),6,1989,1989-06-22 00:00:00 -0500,5.0,N_uptake_rate,4.50,mg N / g-1 root / day-1,23,"",[missing],"","",""
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Betula alleghaniensis,yellow birch,Betula,"",Walters,1993,Low Light,1989 Jun 1,00:00:00 (America/Chicago),6,1989,1989-06-01 00:00:00 -0500,5.0,N_uptake_rate,8.40,mg N / g-1 root / day-1,23,"",[missing],"","",""
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Betula alleghaniensis,yellow birch,Betula,"",Walters,1993,High Light,1989 Jun 1,00:00:00 (America/Chicago),6,1989,1989-06-01 00:00:00 -0500,5.0,N_uptake_rate,11.6,mg N / g-1 root / day-1,23,"",[missing],"","",""
